full breakdown is:
Zeus B4-2E-99-ED-0E-87 =2,124,995,793 bm
Chuggy F8-34-41-62-40-94 =768,839,364 bm
Bill Clittin 64-27-37-32-E0-47 =270,934,325 bm
Hitz C0-B6-F9-94-D6-26 =54,128,674 bm
Noob Owns 44-8A-5B-29-30-4B =51,123,246 bm
Mrs Zeus B4-2E-99-ED-0E-87 =32,278,190 bm
Lano 1C-69-7A-38-BE-94 =29,145,705 bm
Runescape Og 94-B8-6D-C5-67-B9 =25,862,500 bm
R 70-85-C2-84-B8-6E =16,126,489 bm
Martian 7A-79-19-14-39-99 =13,888,666 bm
TJ 0A-00-27-00-00-13 =13,088,824 bm
R7 D8-5E-D3-02-5E-F2 =11,976,420 bm
Big Fart B4-69-21-A8-C2-D0 =10,380,721 bm
Dank2 94-C6-91-0F-78-19 =10,101,000 bm
Noobo B4-2E-99-ED-0E-87 =9,238,109 bm
Sins AC-D1-B8-31-90-1F =9,142,342 bm
Im Sorry 28-B2-BD-84-E6-2B =7,755,901 bm
Cairo F0-92-1C-E8-06-3F =7,521,801 bm
Dub invalid =7,464,996 bm
Itsdank 94-C6-91-0F-78-19 =6,987,129 bm
MikeAP D8-9C-67-41-F6-89 =6,607,099 bm
OUREVILSINS AC-D1-B8-31-90-1F =6,500,930 bm
Ganzito 84-FD-D1-95-5D-7B =6,266,484 bm
K2 D8-5E-D3-02-5E-F2 =5,982,088 bm
Thobeq F0-2F-74-15-2E-BF =4,904,057 bm
Sand Casino 80-2B-F9-84-A0-FB =4,755,944 bm
X1 0A-00-27-00-00-13 =4,477,673 bm
Ric invalid =3,577,555 bm
5aq2 1C-87-2C-5E-3A-F8 =3,426,102 bm
Endless EC-2E-98-93-EB-5B =3,129,931 bm
Baghz 90-F6-52-09-46-A0 =3,012,734 bm
Im Hard 64-27-37-32-E0-47 =3,001,519 bm
Po 74-12-B3-BB-FC-AB =2,545,592 bm
Herb 14-4F-8A-A2-0D-F0 =2,542,668 bm
Randy 70-85-C2-84-B8-6E =2,524,807 bm
Lost 2C-F0-5D-B4-96-F4 =2,490,556 bm
Plateau2 D8-BB-C1-18-E4-27 =2,470,958 bm
Gerkie11 F4-5C-89-C7-56-05 =2,322,839 bm
Smoukki 74-4C-A1-4D-9D-3D =2,256,535 bm
Stealth 4C-CC-6A-BA-28-AB =2,210,535 bm
B3hunted 00-13-EF-F5-40-31 =1,894,575 bm
Evil 9C-D2-1E-4A-59-D7 =1,840,214 bm
Ingmarmario1 A8-A1-59-27-CA-4A =1,831,863 bm
Hiitz C0-B6-F9-94-D6-26 =1,764,225 bm
Dempz 60-F6-77-26-F0-C5 =1,691,572 bm
The HCIM 64-27-37-32-E0-47 =1,416,225 bm
Caf 80-2B-F9-84-A0-FB =1,381,618 bm
Ogsavageking 8C-8D-28-B2-AD-4F =1,260,788 bm
HC Wild 64-27-37-32-E0-47 =1,161,339 bm
Evo 00-E0-4C-86-13-AD =1,055,000 bm
RNG 70-85-C2-84-B8-6E =1,025,269 bm
Ares911x E8-84-A5-94-8A-E5 =1,005,606 bm
Diido 04-D9-F5-F5-B7-EF =982,772 bm
Frog 02-00-4C-4F-4F-50 =975,614 bm
Dubw 2C-6E-85-7D-81-B0 =945,000 bm
Duhr 70-9C-D1-6C-ED-19 =900,660 bm
Abacus 64-00-6A-78-65-42 =878,880 bm
Pluto 6C-5A-B0-F8-3F-95 =874,883 bm
Cumonbro B4-2E-99-A8-65-5F =827,500 bm
Tony666 80-C5-F2-CB-D6-07 =810,214 bm
Serah A0-40-A0-72-4C-AF =776,837 bm
2much 28-B2-BD-84-E6-2B =733,170 bm
Dipstick D8-CB-8A-39-EB-33 =705,064 bm
Dxu3 84-EF-18-71-4C-7E =668,000 bm
Mr Clean 4C-77-CB-90-04-ED =647,033 bm
Highelf 94-08-53-57-9A-C1 =641,600 bm
Xee 64-27-37-32-E0-47 =604,020 bm
Aceofspades 2C-4D-54-D4-02-78 =571,582 bm
Maybe Sadd AC-D5-64-72-47-6B =570,717 bm
Untradeable B4-2E-99-ED-0E-87 =550,276 bm
Tony6666 80-C5-F2-CB-D6-07 =495,268 bm
L I T 6C-4B-90-0F-7A-EA =489,036 bm
Kinslayer 18-5E-0F-DA-A8-A9 =462,967 bm
Sepsep5 14-DA-E9-39-DD-77 =455,210 bm
Leroy417 A4-DB-30-F8-89-63 =445,040 bm
Billy 64-27-37-32-E0-47 =433,851 bm
Simpling 00-D8-61-E6-E4-97 =429,995 bm
Y B0-5C-DA-F6-C7-97 =370,871 bm
Paypal A8-7E-EA-EC-C5-B6 =342,174 bm
Alfieissmexy 28-39-26-C3-90-C1 =336,000 bm
Wise 00-13-EF-F5-40-31 =335,450 bm
Difference 7A-79-19-14-39-99 =332,806 bm
Trust 48-E2-44-9F-EE-F9 =324,000 bm
A FC-AA-14-B1-B0-56 =322,563 bm
Jayy B4-2E-99-E9-89-6D =313,000 bm
Range Tank 0A-00-27-00-00-13 =306,222 bm
Cody 58-6C-25-3B-71-B7 =304,238 bm
Coffee 4A-FB-8B-A1-BA-7C =302,097 bm
Kali Anon 0A-00-27-00-00-10 =299,824 bm
HooliREV BC-A5-11-B2-D0-C6 =287,163 bm
Ares 48-51-B7-8D-6D-3C =271,875 bm
Tyron 80-2B-F9-BF-2C-91 =270,534 bm
Astro A4-97-B1-6A-FC-C3 =264,293 bm
Scotty F8-E4-E3-7D-F2-3A =263,900 bm
Skiller 74-4C-A1-4D-9D-3D =261,371 bm
L4ZY 18-5E-0F-6B-36-4F =259,825 bm
I Skilled Xi FA-4E-73-26-29-7B =257,659 bm
Kyng C8-21-58-3F-7A-5F =254,000 bm
Davis EC-2E-98-93-EB-5B =250,160 bm
Rapid 3C-A0-67-AC-90-7D =250,000 bm
99 2C-6E-85-7D-81-B0 =245,000 bm
Chefpkamzy 38-F9-D3-AB-FC-2F =232,267 bm
Marmite A0-40-A0-72-4C-AF =228,042 bm
Gizehh 3A-9A-8E-4A-9F-A7 =213,200 bm
Spalding 00-F4-8D-26-A5-C9 =210,000 bm
Skillz D4-6D-6D-32-65-22 =205,000 bm
Madmat38 1C-87-2C-5E-3A-F8 =200,000 bm
Lewa9 00-D8-61-79-3B-84 =193,823 bm
