[05 Nov 2021, 1:04:27 pm] [Ferox GameThread] Patrick bought: ItemName=Armadyl chestplate ItemAmount=1 Price=65m
[22 Nov. 2021, 2:08:08 p.m.] [Ferox GameThread] Zoo listed: ItemName=Armadyl godsword (or) ItemAmount=1 Price=1m
[22 Nov. 2021, 2:08:10 p.m.] [Ferox GameThread] Zoo listed: ItemName=Bandos godsword (or) ItemAmount=1 Price=1m
[22 Nov. 2021, 2:08:13 p.m.] [Ferox GameThread] Zoo listed: ItemName=$50 bond ItemAmount=1 Price=10m
[22 Nov. 2021, 2:08:15 p.m.] [Ferox GameThread] Zoo listed: ItemName=$100 bond ItemAmount=1 Price=100m
[22 Nov. 2021, 2:08:17 p.m.] [Ferox GameThread] Zoo listed: ItemName=$40 bond ItemAmount=1 Price=10m
[22 Nov. 2021, 2:08:19 p.m.] [Ferox GameThread] Zoo listed: ItemName=$20 bond ItemAmount=1 Price=5m
[22 Nov. 2021, 2:08:22 p.m.] [Ferox GameThread] Zoo listed: ItemName=Saradomin godsword (or) ItemAmount=1 Price=2m
[22 Nov. 2021, 2:08:23 p.m.] [Ferox GameThread] Zoo listed: ItemName=5$ bond ItemAmount=1 Price=1m
[22 Nov. 2021, 2:08:29 p.m.] [Ferox GameThread] Zoo listed: ItemName=Torag's helm ItemAmount=1 Price=1m
[22 Nov. 2021, 2:08:31 p.m.] [Ferox GameThread] Zoo listed: ItemName=Dragon 2h sword ItemAmount=1 Price=1m
[22 Nov. 2021, 2:11:44 p.m.] [Ferox GameThread] Zoo listed: ItemName=Red partyhat ItemAmount=1 Price=10m
[22 Nov. 2021, 2:11:46 p.m.] [Ferox GameThread] Zoo listed: ItemName=Purple partyhat ItemAmount=1 Price=10m
[22 Nov. 2021, 2:11:48 p.m.] [Ferox GameThread] Zoo listed: ItemName=Yellow partyhat ItemAmount=1 Price=10m
[22 Nov. 2021, 2:11:50 p.m.] [Ferox GameThread] Zoo listed: ItemName=Blue partyhat ItemAmount=1 Price=10m
[22 Nov. 2021, 2:11:53 p.m.] [Ferox GameThread] Zoo listed: ItemName=Green partyhat ItemAmount=1 Price=10m
[22 Nov. 2021, 2:14:26 p.m.] [Ferox GameThread] Adlad listed: ItemName=Red partyhat ItemAmount=1 Price=10m
[22 Nov. 2021, 2:14:28 p.m.] [Ferox GameThread] Adlad listed: ItemName=Yellow partyhat ItemAmount=1 Price=5m
[22 Nov. 2021, 2:14:29 p.m.] [Ferox GameThread] Adlad listed: ItemName=Blue partyhat ItemAmount=1 Price=5m
[22 Nov. 2021, 2:14:31 p.m.] [Ferox GameThread] Adlad listed: ItemName=Green partyhat ItemAmount=1 Price=2m
[22 Nov. 2021, 2:14:33 p.m.] [Ferox GameThread] Adlad listed: ItemName=Bandos godsword (or) ItemAmount=1 Price=2m
[22 Nov. 2021, 2:14:35 p.m.] [Ferox GameThread] Adlad listed: ItemName=White partyhat ItemAmount=1 Price=2m
[22 Nov. 2021, 2:14:37 p.m.] [Ferox GameThread] Adlad listed: ItemName=Purple partyhat ItemAmount=1 Price=2m
[22 Nov. 2021, 2:14:39 p.m.] [Ferox GameThread] Adlad listed: ItemName=Saradomin godsword (or) ItemAmount=1 Price=2m
[22 Nov. 2021, 2:15:16 p.m.] [Ferox GameThread] Adlad listed: ItemName=Armadyl godsword ItemAmount=1 Price=1m
[22 Nov. 2021, 2:15:17 p.m.] [Ferox GameThread] Adlad listed: ItemName=Bandos godsword ItemAmount=1 Price=2m
[22 Nov. 2021, 2:15:19 p.m.] [Ferox GameThread] Adlad listed: ItemName=Armadyl godsword (or) ItemAmount=1 Price=5m
[23 Jan 2022, 8:36:16 PM] [Velrai GameThread] Zach listed: ItemName=Saradomin godsword ItemAmount=1 Price=1.5k
[29 Jan 2022, 1:20:49 AM] [Velrai GameThread] Zennu successfully canceled the offer for: Trident of the swamp
[29 Jan 2022, 1:21:46 AM] [Velrai GameThread] Zoo successfully canceled the offer for: Armadyl godsword (or)
[29 Jan 2022, 1:21:49 AM] [Velrai GameThread] Zoo successfully canceled the offer for: $100 bond
[29 Jan 2022, 1:21:51 AM] [Velrai GameThread] Zoo successfully canceled the offer for: $40 bond
[29 Jan 2022, 1:21:54 AM] [Velrai GameThread] Zoo successfully canceled the offer for: $20 bond
[29 Jan 2022, 1:21:56 AM] [Velrai GameThread] Zoo successfully canceled the offer for: $50 bond
[29 Jan 2022, 1:22:02 AM] [Velrai GameThread] Zoo successfully canceled the offer for: 5$ bond
[29 Jan 2022, 1:22:07 AM] [Velrai GameThread] Zoo successfully canceled the offer for: Red partyhat
[29 Jan 2022, 1:22:08 AM] [Velrai GameThread] Zoo successfully canceled the offer for: Purple partyhat
[29 Jan 2022, 1:22:10 AM] [Velrai GameThread] Zoo successfully canceled the offer for: Yellow partyhat
[29 Jan 2022, 1:22:13 AM] [Velrai GameThread] Zoo successfully canceled the offer for: Blue partyhat
[29 Jan 2022, 1:22:15 AM] [Velrai GameThread] Zoo successfully canceled the offer for: Green partyhat
[29 Jan 2022, 1:23:24 AM] [Velrai GameThread] Billybob successfully canceled the offer for: Enchanted armadyl helmet
[29 Jan 2022, 1:23:26 AM] [Velrai GameThread] Billybob successfully canceled the offer for: Blood money pet
[29 Jan 2022, 1:23:31 AM] [Velrai GameThread] Billybob successfully canceled the offer for: Harmonised orb
[29 Jan 2022, 1:23:33 AM] [Velrai GameThread] Billybob successfully canceled the offer for: Amulet of torture (or)
[29 Jan 2022, 1:23:38 AM] [Velrai GameThread] Billybob successfully canceled the offer for: Toxic blowpipe
[29 Jan 2022, 1:30:52 AM] [Velrai GameThread] Off offer claimed for: Larran's key tier III Received=340000 blood money
[29 Jan 2022, 1:31:34 AM] [Velrai GameThread] Off successfully canceled the offer for: Twisted bow
[30 Jan 2022, 12:32:29 PM] [Velrai GameThread] Zach listed: ItemName=Sword of gryffindor ItemAmount=1 Price=2147m
[30 Jan 2022, 2:10:49 PM] [Velrai GameThread] Evil listed: ItemName=Dragon boots ItemAmount=1 Price=10k
[30 Jan 2022, 2:33:49 PM] [Velrai GameThread] Evil successfully canceled the offer for: Dragon boots
[25 Feb 2022, 5:36:14 PM] [Velrai GameThread] OUREVILSINS listed: ItemName=Armadyl godsword ItemAmount=1 Price=5k
[25 Feb 2022, 6:11:25 PM] [Velrai GameThread] Zeus bought: ItemName=Armadyl godsword ItemAmount=1 Price=5k
[25 Feb 2022, 6:11:38 PM] [Velrai GameThread] OUREVILSINS offer claimed for: Armadyl godsword Received=5000 blood money
[26 Feb 2022, 1:18:20 PM] [Velrai GameThread] Dank listed: ItemName=Armadyl godsword ItemAmount=1 Price=150k
[10 Mar 2022, 9:19:30 AM] [Revolution GameThread] Optic listed: ItemName=Sanguine scythe of vitur ItemAmount=1 Price=200.000b
